	word	proposed_splitting	count_pre	count_post
1493	isfconf2018		1	
1494	assam		1	
1495	indusnews		1	
1496	polymerfibres		1	
1497	justsaying	['just', 'saying']	1	
1498	kidlit4climate	['kid', 'lit', '4', 'climate']	3	
1499	悟性		3	
1500	australianfarmers		2	
1501	chefchaouen		1	
1502	telleurope		1	
1503	rebelforlife	['rebel', 'for', 'life']	4	
1504	gpwx		1	5.0
1505	climatemodeelling		1	
1506	publicspeakingcompetition	['public', 'speaking', 'competition']	1	
1507	extremeweatherevents	['extreme', 'weather', 'events']	2	
1508	heatwaves	['heatwave', 's']	7	1.0
1509	carbonoffsets	['carbon', 'offsets']	2	
1510	systemsthinking	['systems', 'thinking']	1	1.0
1511	speciesonthemove	['species', 'on', 'the', 'move']	1	
1512	ecosystems		7	2.0
1513	vive		1	
1514	newworldorder	['new', 'world', 'order']	1	
1515	puertorico		3	4.0
1516	carbon		20	35.0
1517	nhpolitics		2	
1518	sustyvibersrock		1	
1519	save		3	
1520	climatedenier	['climate', 'denier']	1	
1521	keeplacool	['keep', 'la', 'cool']	1	
1522	listentothechildren	['listen', 'to', 'the', 'children']	1	
1523	aviationexpansion	['aviation', 'expansion']	1	
1524	shetland		1	
1525	midhurst		1	
1526	disrupt		1	
1527	thegreatgreenhoax	['the', 'great', 'green', 'hoax']	1	
1528	carbonfarming	['carbon', 'farming']	1	
1529	unpfii18		1	
1530	25demayo		1	
1531	cannabis		1	
1532	real		2	
1533	manchester		1	3.0
1534	keepingfamiliestogether	['keeping', 'families', 'together']	1	
1535	aca		1	
1536	newzealand		1	3.0
1537	joe2020		1	
1538	governance		1	1.0
1539	homedecor	['home', 'decor']	2	
1540	jc4pm		1	
1541	whistleblower	['whistle', 'blower']	2	
1542	builtenvironment	['built', 'environment']	1	
1543	elizabethwarren		5	
1544	liarinchief	['liar', 'in', 'chief']	1	1.0
1545	5daysyllabuschallenge	['5', 'day', 'syllabus', 'challenge']	2	
1546	endforeverwar	['end', 'forever', 'war']	1	
1547	climatetech	['climate', 'tech']	1	
1548	virtualclimatesummit	['virtual', 'climate', 'summit']	2	
1549	greenhousegas	['greenhouse', 'gas']	3	2.0
1550	climatemove	['climate', 'move']	5	
1551	lifeproject	['life', 'project']	3	
1552	betd2019		2	
1553	thoughts		1	
1554	washingtonstate		1	
1555	carbontargets	['carbon', 'targets']	2	
1556	researchassistant	['research', 'assistant']	1	
1557	png		1	
1558	iraq		1	
1559	loveyourisland	['love', 'your', 'island']	1	
1560	africa		20	18.0
1561	isntreal		1	
1562	olympicpark		2	
1563	defaunation		1	
1564	wsw		1	
1565	betterment		1	
1566	loggingfires	['logging', 'fires']	6	
1567	ukpoli		2	1.0
1568	womansday		1	
1569	snp19		1	
1570	sirdavidattenborough		1	
1571	rats		1	
1572	followthemoney	['follow', 'the', 'money']	3	
1573	rhodeisland		2	
1574	woodsmoke	['wood', 'smoke']	3	
1575	humansolidarity	['human', 'solidarity']	1	
1576	cloudscape	['clouds', 'cape']	1	
1577	science		111	114.0
1578	jobsgrowth	['jobs', 'growth']	1	
1579	ch4	['ch', '4']	1	
1580	movie		1	2.0
1581	ss4c	['s', 's', '4', 'c']	4	
1582	toronto		2	2.0
1583	blm	['bl', 'm']	2	
1584	germany		9	6.0
1585	utm		1	
1586	abbottjunta		1	
1587	naturestructure	['nature', 'structure']	1	
1588	united		1	1.0
1589	plantatree	['plant', 'a', 'tree']	2	
1590	danger		1	
1591	ecoafrica		1	
1592	jaijagat		1	
1593	species		4	
1594	barcelona		1	
1595	gar2019	['gar', '2019']	6	
1596	iacaucus	['i', 'a', 'caucus']	1	
1597	hongkong		4	
1598	commonwealth		3	4.0
1599	energitoken	['en', 'erg', 'i', 'token']	6	
1600	geoengineering		23	5.0
1601	resigntrump	['resign', 'trump']	1	
1602	sac18	['sac', '18']	3	
1603	doughnuteconomics	['doughnut', 'economics']	3	
1604	edd18	['ed', 'd', '18']	2	
1605	vergehawaii		1	
1606	christian		1	
1607	tidalenergy	['tidal', 'energy']	2	
1608	endoil	['end', 'oil']	1	
1609	tbt		1	1.0
1610	biotechnology		1	
1611	experts		1	
1612	superstar		1	
1613	grasslands		1	
1614	woodlands		1	
1615	borders		1	
1616	prosumer		1	
1617	animals		8	10.0
1618	storms		2	
1619	micamade	['mica', 'made']	1	
1620	redtsunami	['red', 'tsunami']	1	
1621	backofdoveyshops		1	
1622	globalhist	['global', 'hist']	1	
1623	thisiswhatascientistlookslike	['this', 'is', 'what', 'a', 'scientist', 'looks', 'like']	1	
1624	alternative		1	
1625	health		17	30.0
1626	control		2	5.0
1627	inittogether	['in', 'it', 'together']	1	
1628	globalweirding		1	1.0
1629	black		1	
1630	coalkillscoral	['coal', 'kills', 'coral']	1	
1631	youthstrike4climatechester		1	
1632	zambia		2	1.0
1633	brazilian		1	
1634	northvan	['north', 'van']	5	
1635	today		1	
1636	rx	['r', 'x']	1	
1637	euelections2019		11	
1638	tagus		1	
1639	greennewdeal4ny		4	
1640	timescontrarian	['times', 'contrarian']	1	
1641	galapagosislands		1	
1642	whynotwater	['why', 'not', 'water']	2	
1643	核廃絶		1	
1644	prep		1	
1645	goodfoodnation	['good', 'food', 'nation']	1	
1646	memorialdayweekend	['memorial', 'day', 'weekend']	1	
1647	socialinjustice	['social', 'injustice']	1	
1648	naiad2020	['naiad', '2020']	1	
1649	fptp		1	
1650	spin		1	
1651	saturdayreading		1	
1652	affordablechildcare	['affordable', 'childcare']	1	
1653	electricfueledvehicle	['electric', 'fueled', 'vehicle']	1	
1654	elxn		1	
1655	reservoir		1	1.0
1656	lowenergy	['low', 'energy']	1	
1657	pennsylvania		1	
1658	changepoliticsforgood	['change', 'politics', 'for', 'good']	1	
1659	veggiedag	['veggie', 'dag']	1	
1660	turtle		1	
1661	wheat		1	2.0
1662	tariffs		1	1.0
1663	flooding2019	['flooding', '2019']	1	
1664	liverpool		1	
1665	climatedisaster	['climate', 'disaster']	1	
1666	100daysofwalking	['100', 'days', 'of', 'walking']	1	
1667	weatheringchange	['weathering', 'change']	1	
1668	animlas		1	
1669	plasticinpakistan		1	
1670	globalhealth	['global', 'health']	7	4.0
1671	funding		1	
1672	budgetreply	['budget', 'reply']	2	
1673	globalrunningday	['global', 'running', 'day']	1	
1674	fossilfools	['fossil', 'fools']	1	
1675	americanpowerandgas		1	
1676	dhaka		3	
1677	shedds		1	
1678	naturebasedsolutions	['nature', 'based', 'solutions']	1	4.0
1679	climatematters	['climate', 'matters']	5	
1680	libs	['lib', 's']	2	
1681	julianavunitedstates		1	
1682	environnement		1	2.0
1683	years		1	1.0
1684	energimine	['en', 'erg', 'i', 'mine']	5	
1685	coraltriangleday	['coral', 'triangle', 'day']	1	
1686	navarinoenvironmentalobservatory		2	
1687	trumps		1	
1688	freshwater		3	1.0
1689	anthem		1	
1690	everydropmatters	['every', 'drop', 'matters']	1	
1691	resilience4dev		2	
1692	threattoworldheritage	['threat', 'to', 'world', 'heritage']	1	
1693	bird		1	1.0
1694	askyourmp	['ask', 'your', 'mp']	1	
1695	windpower	['wind', 'power']	4	2.0
1696	le19		1	
1697	litter		1	
1698	onelxn		1	
1699	albertawildfires		3	
1700	examfactoryschools	['exam', 'factory', 'schools']	3	
1701	parentsforfuture	['parents', 'for', 'future']	2	
1702	neverthelessshepersists	['nevertheless', 'she', 'persists']	1	
1703	powerplant		1	
1704	agroecosystems		1	
1705	erosion		1	
1706	saudiarabia		1	
1707	mural		2	
1708	ichthyology		1	
1709	plasticfree	['plastic', 'free']	8	13.0
1710	greentweets	['green', 'tweets']	1	
1711	terisas		1	
1712	hope7cc	['hope', '7', 'cc']	1	
1713	gemroyalty	['gem', 'royalty']	2	
1714	russiagate		1	
1715	biodiversityday	['biodiversity', 'day']	1	
1716	realtor		1	
1717	upr30		1	
1718	tafe		1	
1719	listenfirst	['listen', 'first']	2	
1720	climateelection2019	['climate', 'election', '2019']	2	
1721	icebreaker		1	
1722	newscorp	['news', 'corp']	1	
1723	thinkgreen	['think', 'green']	1	
1724	publishing		1	
1725	meatlessmonday		1	2.0
1726	endextremism	['end', 'extremism']	1	
1727	frog		1	
1728	hittestress		1	
1729	standrews		1	
1730	tonyabbott		1	
1731	earth_day	['earth', 'day']	1	
1732	centralvalley	['central', 'valley']	1	
1733	vegano		1	
1734	gasemission	['gas', 'emission']	1	
1735	budgetresponse	['budget', 'response']	2	
1736	windpower2018	['wind', 'power', '2018']	1	
1737	naturephotography	['nature', 'photography']	1	1.0
1738	hydroconference	['hydro', 'conference']	1	
1739	climatewhatnow	['climate', 'what', 'now']	3	
1740	orca		1	
1741	ansto	['an', 's', 'to']	1	
1742	weather		22	13.0
1743	climateengineering	['climate', 'engineering']	3	1.0
1744	greentaxonomyeu		1	
1745	conservationjobs	['conservation', 'jobs']	1	
1746	tillerson	['tillers', 'on']	1	
1747	exxon		1	1.0
1748	u3o8	['u', '3', 'o', '8']	1	1.0
1749	auspolacts	['a', 'us', 'pol', 'acts']	1	
1750	edchat	['ed', 'chat']	1	
1751	gellriver	['gel', 'l', 'river']	1	
1752	watch		1	
1753	enviroment		1	
1754	regenerate		2	
1755	lungcancer	['lung', 'cancer']	1	
1756	bigdata	['big', 'data']	3	7.0
1757	ghana		1	
1758	by2020weriseup	['by', '2020', 'we', 'rise', 'up']	1	
1759	vegan		37	25.0
1760	nowplaying	['now', 'playing']	1	
1761	smear		2	
1762	venus		1	
1763	agakhan		2	
1764	brand		1	
1765	changingthewayweeat	['changing', 'the', 'way', 'we', 'eat']	1	
1766	war		3	
1767	californiaflora		1	
1768	fisheries		6	4.0
1769	cdnmedia		1	
1770	learningdisability	['learning', 'disability']	1	
1771	strawpocalypse		2	
1772	cpc		5	
1773	invasivealienspecies	['invasive', 'alien', 'species']	2	
1774	bigoillobby	['big', 'oil', 'lobby']	1	
1775	inners	['inner', 's']	1	
1776	airpollution	['air', 'pollution']	30	22.0
1777	foodeconomy	['food', 'economy']	1	
1778	smartcities	['smart', 'cities']	8	2.0
1779	nasmember		2	
1780	worldwaterday2019	['world', 'water', 'day', '2019']	2	
1781	climateemergency	['climate', 'emergency']	1	125.0
1782	policyprimerseries	['policy', 'primer', 'series']	2	
1783	abcnews		5	
1784	hillaryclinton		2	
1785	beherenow	['be', 'here', 'now']	2	
1786	kindermorgan		6	
1787	flooring		1	
1788	asthma		4	2.0
1789	northerntour2018	['northern', 'tour', '2018']	1	
1790	waterprotectors	['water', 'protectors']	1	
1791	seedfreedom	['seed', 'freedom']	1	
1792	draught		1	
1793	euelections		2	
1794	ausag		1	
1795	bluewave2020	['blue', 'wave', '2020']	2	
1796	marshallislands		3	
1797	supplychain	['supply', 'chain']	3	
1798	kidneydisease	['kidney', 'disease']	2	1.0
1799	racism		4	3.0
1800	americans		7	
1801	ornithology		3	2.0
1802	gnd		11	
1803	neg		4	
1804	euwahl2019		1	
1805	logistics		2	4.0
1806	copd		2	1.0
1807	berniesanders		3	
1808	vocation		1	
1809	tryvegan	['try', 'vegan']	1	
1810	climateags	['climate', 'a', 'gs']	1	
1811	metals		2	
1812	tauntongardentown		1	
1813	strongwater	['strong', 'water']	1	
1814	technology		19	20.0
1815	tomorrowliveshere	['tomorrow', 'lives', 'here']	1	
1816	bbq		1	
1817	p2	['p', '2']	1	
1818	animation		4	
1819	beautyofnature	['beauty', 'of', 'nature']	1	
1820	flood2019	['flood', '2019']	1	
1821	architects		1	1.0
1822	nbpoli		1	
1823	cyprusuniversityoftechnology		2	
1824	wolbachia		1	
1825	wisconsin		2	
1826	socialism		2	12.0
1827	ticks		2	
1828	lean		1	
1829	durham		1	
1830	kalua		1	
1831	shakespeare		1	
1832	recycling		3	15.0
1833	climat		2	2.0
1834	artificialintelligence	['artificial', 'intelligence']	3	1.0
1835	skpoli		3	1.0
1836	goveg		1	
1837	localnews	['local', 'news']	1	
1838	chargedup	['charged', 'up']	2	
1839	cville		1	
1840	eatlessmeat	['eat', 'less', 'meat']	1	1.0
1841	stream		1	
1842	worldwar11		1	
1843	trumpgolf	['trump', 'golf']	1	
1844	epdpunjab		1	
1845	keepitintheground	['keep', 'it', 'in', 'the', 'ground']	140	76.0
1846	sugarmoonfarm	['sugar', 'moon', 'farm']	1	
1847	fintech	['fin', 'tech']	5	
1848	euspace		1	
1849	ethical		4	
1850	liberallaunch	['liberal', 'launch']	1	
1851	usecase	['use', 'case']	1	
1852	flood		12	11.0
1853	threatenedspecies	['threatened', 'species']	1	
1854	lowcarboneu2050		2	
1855	trumprussiacollusion		1	
1856	russianhacking		1	
1857	lowcarboneconomy	['low', 'carbon', 'economy']	2	
1858	evidence		1	
1859	faith		1	
1860	resist		10	10.0
1861	heracles		1	
1862	sonyimages		1	
1863	marr		3	1.0
1864	genderinequality	['gender', 'inequality']	1	
1865	greenhouseeffect	['greenhouse', 'effect']	1	
1866	co2shortage	['co', '2', 'shortage']	1	
1867	election2019	['election', '2019']	5	
1868	notajoke	['not', 'a', 'joke']	1	
1869	energiewende		5	2.0
1870	earthweek	['earth', 'week']	1	2.0
1871	narendramodi		1	
1872	no2slavery	['no', '2', 'slavery']	1	
1873	trumpswamp	['trump', 'swamp']	2	
1874	stormydaniels		2	
1875	mena19	['men', 'a', '19']	1	
1876	saskatoon		2	
1877	desmoinesiowa		1	
1878	taxevasion	['tax', 'evasion']	1	
1879	teachers		2	
1880	jamescharles		1	
1881	tucker		1	
1882	oecdsids		1	
1883	bbcwt		1	
1884	doclands	['doc', 'lands']	1	
1885	gcfund		2	
1886	fakenewsmedia	['fake', 'news', 'media']	2	
1887	seagrass		2	2.0
1888	bthechange	['b', 'the', 'change']	1	
1889	publichealthcrisis	['public', 'health', 'crisis']	1	
1890	eplenary	['e', 'plenary']	1	
1891	votelabor	['vote', 'labor']	1	
1892	ledlights	['led', 'lights']	1	
1893	angrygods	['angry', 'gods']	2	
1894	southasia		8	1.0
1895	twitterkurds		1	
1896	thwaites		1	
1897	artlover	['art', 'lover']	2	
1898	apparel		1	
1899	un4indigenous		1	
1900	oneplanetonehealth	['one', 'planet', 'one', 'health']	1	
1901	vr		3	
1902	merkel		3	
1903	ditchthebag	['ditch', 'the', 'bag']	2	
1904	climateneutralnow	['climate', 'neutral', 'now']	3	
1905	summer		8	1.0
1906	ecoright		1	3.0
1907	pea		1	
1908	mangrove		3	1.0
1909	saturdaynight		1	1.0
1910	mainstreaming		5	
1911	stonybrookalum	['stony', 'brook', 'alum']	2	
1912	sohnidharticlimateers		1	
1913	cejisready		2	
1914	sciencebasedtargets	['science', 'based', 'targets']	7	
1915	humansofxr	['humans', 'of', 'x', 'r']	2	
1916	climatecosts	['climate', 'costs']	2	5.0
1917	esports	['e', 'sports']	1	
1918	southernocean	['southern', 'ocean']	1	
1919	banks		2	
1920	cbrlightrail		1	
1921	womentalkclimate	['women', 'talk', 'climate']	1	
1922	democratsabroad	['democrats', 'abroad']	1	
1923	tcot	['t', 'cot']	3	9.0
1924	sustainabledevelopment	['sustainable', 'development']	10	14.0
1925	go100percent	['go', '100', 'percent']	1	
1926	publicengagement	['public', 'engagement']	1	
1927	greenparty	['green', 'party']	3	
1928	projection		1	
1929	scientificconsenus	['scientific', 'cons', 'en', 'us']	1	
1930	localeconomy	['local', 'economy']	1	
1931	cinema		1	1.0
1932	mayak		2	
1933	decentralized		1	
1934	choosesustainable	['choose', 'sustainable']	1	
1935	nmwater		2	
1936	tonightvmtv		2	
1937	osloforestforum		1	
1938	iucn		1	
1939	authoritarian		2	
1940	emoji		1	
1941	buttigieg		1	
1942	activistinvestors	['activist', 'investors']	2	
1943	indigenousknowledge	['indigenous', 'knowledge']	2	
1944	act4sdgs		1	
1945	obstructionofjustice	['obstruction', 'of', 'justice']	1	
1946	nabcep		1	
1947	africaday		1	2.0
1948	thetempest	['the', 'tempest']	1	
1949	familyfunlinky	['family', 'fun', 'link', 'y']	1	
1950	elysium		2	
1951	vehicle		2	
1952	potatoes		1	
1953	madhouseeffect	['madhouse', 'effect']	1	3.0
1954	communityenergy	['community', 'energy']	4	
1955	nauru		1	2.0
1956	savethewhales	['save', 'the', 'whales']	2	1.0
1957	rsgasia		1	
1958	garbage		1	
1959	rojava		1	
1960	saveanimals	['save', 'animals']	1	
1961	shortfilms	['short', 'films']	1	
1962	lifeenhancing	['life', 'enhancing']	1	
1963	alinthearctic		1	
1964	strike4climate	['strike', '4', 'climate']	2	
1965	gop		9	8.0
1966	teamhb2019		3	
1967	welcometrump	['welcome', 'trump']	9	
1968	brumadinho		1	
1969	politically		1	
1970	priutt		1	
1971	nike		1	
1972	hydroelectricity		1	
1973	poetryslam	['poetry', 'slam']	1	
1974	altnews	['alt', 'news']	2	
1975	saveresources	['save', 'resources']	1	
1976	negotiation		2	
1977	hopebohanec		1	
1978	reconciliation		1	1.0
1979	important		1	
1980	humanrightsdefenders	['human', 'rights', 'defenders']	1	
1981	wtf		1	
1982	cleanmovement	['clean', 'movement']	1	
1983	podcastsiwouldlistento	['podcasts', 'i', 'would', 'listen', 'to']	1	
1984	middendelfland		1	
1985	pintofscience	['pint', 'of', 'science']	1	
1986	renewablesnow		6	1.0
1987	liars		1	1.0
1988	jcmakeitgreen		1	
1989	yeg	['ye', 'g']	6	
1990	nah		1	
1991	unea4		4	
1992	rebellion		1	
1993	activeownership	['active', 'ownership']	1	
1994	abisko		1	
1995	energyefficiency	['energy', 'efficiency']	26	8.0
1996	climatesrike		1	
1997	greenpolicy	['green', 'policy']	1	
1998	equity		1	2.0
1999	biomimicry	['bio', 'mimicry']	1	
2000	clockproject	['clock', 'project']	1	
2001	flopark		1	
2002	arcticmelting	['arctic', 'melting']	1	
2003	newyorkcity		1	
2004	sri		2	1.0
2005	directaircapture	['direct', 'air', 'capture']	1	
2006	greenliving	['green', 'living']	2	
2007	geopoliticsofrenewables		1	
2008	hiringnow	['hiring', 'now']	2	
2009	wedonthavetime		7	3.0
2010	makeinindia		1	
2011	ilmastomarssi		1	
2012	senbillnelson	['sen', 'bill', 'nelson']	1	
2013	seeds		2	
2014	richlist	['rich', 'list']	1	
2015	gaia		1	1.0
2016	scccalumni		2	
2017	inccia		1	
2018	album		1	
2019	nationalparks	['national', 'parks']	2	1.0
2020	schools4climate	['schools', '4', 'climate']	14	
2021	poet		1	2.0
2022	record		1	
2023	ilmastoveivi2019		5	
2024	dash2019	['dash', '2019']	1	
2025	no2slaveryinafrica		1	
2026	earthquake		3	1.0
2027	worldpenguinday	['world', 'penguin', 'day']	11	
2028	immigrationjusticeisclimatejustice	['immigration', 'justice', 'is', 'climate', 'justice']	1	
2029	copernicus		4	
2030	forests		24	22.0
2031	frontlineyouth		5	
2032	laudatosi2018		2	
2033	africansrising		1	
2034	exitoil	['exit', 'oil']	2	
2035	athens		1	
2036	watercrisis	['water', 'crisis']	5	2.0
2037	mattsmith		1	
2038	raise		1	
2039	mx		1	
2040	centralasia		1	
2041	snapchat	['snap', 'chat']	2	2.0
2042	skies		1	
2043	electricbus	['electric', 'bus']	2	
2044	dance		1	1.0
2045	1o5c	['1', 'o', '5', 'c']	3	19.0
2046	pmmodi		1	
2047	infinitywar	['infinity', 'war']	1	
2048	nra		3	
2049	sciencefiction	['science', 'fiction']	2	
2050	oceananimals	['ocean', 'animals']	1	
2051	blacktwitter	['black', 'twitter']	1	
2052	ecodivanomi		1	
2053	thereisnoplanetb	['there', 'is', 'no', 'planet', 'b']	1	2.0
2054	cl159	['cl', '159']	1	
2055	lora		1	
2056	fossil		1	
2057	tasteofsci	['taste', 'of', 'sci']	1	
2058	farce		1	16.0
2059	spring		1	2.0
2060	togetheragainsttrump	['together', 'against', 'trump']	1	
2061	artisticresearch	['artistic', 'research']	1	
2062	cvcc18		1	
2063	thinkbigsundaywithmarsha		2	1.0
2064	teachagirltoswim	['teach', 'a', 'girl', 'to', 'swim']	1	
2065	deletefacebook		1	
2066	care2	['care', '2']	1	
2067	deforestationfree	['deforestation', 'free']	1	
2068	soltice		2	
2069	earthday19	['earth', 'day', '19']	4	
2070	basta	['bast', 'a']	1	
2071	barc2018	['bar', 'c', '2018']	1	
2072	postapocalypse	['post', 'apocalypse']	1	
2073	umbria		1	
2074	عمان_تتكاتف_كلها		1	
2075	greencentralbanks	['green', 'central', 'banks']	1	
2076	basicincome	['basic', 'income']	3	
2077	lyinlibtardprofessors		1	
2078	givethanks	['give', 'thanks']	1	
2079	austerity		2	
2080	demography		1	
2081	milano		1	
2082	publicinterest	['public', 'interest']	1	
2083	sustainablefood	['sustainable', 'food']	1	
2084	almedalen18		1	
2085	taraz		1	
2086	hrc		1	
2087	collapse		2	
2088	lithium		2	1.0
2089	yang		1	
2090	earthhourug19		1	
2091	ujelp19		1	
2092	hurricanekennth		2	
2093	worldwildlifeday	['world', 'wildlife', 'day']	6	
2094	spartan		1	
2095	behaviorchange	['behavior', 'change']	1	
2096	smartdissent	['smart', 'dissent']	7	4.0
2097	brookline		1	
2098	parliamentaryhearings	['parliamentary', 'hearings']	1	
2099	cow		1	1.0
2100	climatemigrants	['climate', 'migrants']	1	
2101	rstats	['r', 'stats']	1	
2102	newyork		7	
2103	mars		2	
2104	ppmashow	['ppm', 'a', 'show']	1	
2105	drought		24	11.0
2106	antarcia		1	
2107	universal		2	
2108	wgia16		1	
2109	insp		1	
2110	butter		1	
2111	aviva		1	
2112	society		2	
2113	ilmastonmuutos		2	
2114	feralcats	['feral', 'cats']	1	
2115	womeninstem	['women', 'in', 'stem']	1	1.0
2116	womensday		2	
2117	45		1	
2118	resisttrump	['resist', 'trump']	1	
2119	style		1	
2120	justtransitionnz		4	
2121	ancient		1	
2122	developmentjustice	['development', 'justice']	1	
2123	poleshifts	['pole', 'shifts']	1	
2124	forbo		1	
2125	banbeef	['ban', 'beef']	1	
2126	mains	['main', 's']	1	
2127	responsibility		1	
2128	globalsyndemic		3	
2129	governmentcorruption	['government', 'corruption']	2	
2130	changeiscoming	['change', 'is', 'coming']	1	
2131	activism		6	4.0
2132	altright	['alt', 'right']	1	
2133	medicalethics	['medical', 'ethics']	1	
2134	energystorage	['energy', 'storage']	3	2.0
2135	electricvehicle	['electric', 'vehicle']	1	1.0
2136	iasc	['i', 'as', 'c']	2	
2137	divestment		4	2.0
2138	vanpoli		4	4.0
2139	iowa		3	3.0
2140	maskbook	['mask', 'book']	1	
2141	napag		1	
2142	gooddo	['good', 'do']	1	
2143	riot		1	
2144	smogalert	['smog', 'alert']	3	
2145	endfamilydetention	['end', 'family', 'detention']	1	
2146	vietnamese		1	
2147	frankenskies		3	
2148	veganfoodshare	['vegan', 'food', 'share']	1	
2149	nodrilling	['no', 'drilling']	1	
2150	womenempowerment	['women', 'empowerment']	2	1.0
2151	degrowth		1	
2152	intlbiodiversityday		3	
2153	climatebrawl	['climate', 'brawl']	20	
2154	climatecatastrophe	['climate', 'catastrophe']	14	
2155	snclavalin		1	
2156	pocahontas		5	1.0
2157	scheerhypocrisy		1	
2158	winelover	['wine', 'lover']	1	
2159	infectiousdiseases	['infectious', 'diseases']	1	
2160	sednaepic		1	
2161	intersectionality		2	
2162	wärtsilä		1	
2163	edutwitter		1	
2164	foodwaste	['food', 'waste']	3	5.0
2165	roadtozero	['road', 'to', 'zero']	1	
2166	dhyeyaias		1	
2167	denmark		2	
2168	forboflooring		1	
2169	grapevine		1	
2170	vaccination		1	
2171	gpconf		4	
2172	intellectualproperty	['intellectual', 'property']	1	
2173	atlanticcod		3	
2174	bcawareness		1	
2175	northkorea		2	1.0
2176	environmentalthreats	['environmental', 'threats']	1	
2177	jamiemargolin		1	
2178	smoked		1	
2179	southaustralia		2	
2180	climateambition	['climate', 'ambition']	1	11.0
2181	microclimate	['micro', 'climate']	2	2.0
2182	summerschool	['summer', 'school']	1	
2183	thebible	['the', 'bible']	1	
2184	1		3	5.0
2185	wechoosenottoplugin	['we', 'choose', 'not', 'to', 'plugin']	1	
2186	climatestrikeyvr		2	
2187	stillbirth		2	
2188	frontiers		1	
2189	theboltreport	['the', 'bolt', 'report']	15	
2190	phdchat		1	
2191	4		2	1.0
2192	highschool		1	
2193	3dmodels	['3', 'd', 'models']	1	
2194	fertilizers		1	
2195	publiclands	['public', 'lands']	1	
2196	labourday		1	
2197	spanish		1	
2198	amplifiedjetstream		1	
2199	hw	['h', 'w']	2	
2200	globalwarming	['global', 'warming']	200	223.0
2201	investeuresearch		1	
2202	wastefree	['waste', 'free']	1	
2203	unff14		2	
2204	haarp		5	1.0
2205	decarbonize		1	
2206	parodycabinet	['parody', 'cabinet']	3	
2207	pests		1	2.0
2208	bangor		1	
2209	futureutility	['future', 'utility']	1	
2210	browncoal	['brown', 'coal']	1	
2211	natureinspiredtechnology	['nature', 'inspired', 'technology']	1	
2212	onpoli		18	27.0
2213	greenmarketin	['green', 'market', 'in']	1	
2214	planetsfuture	['planets', 'future']	1	
2215	quote		1	1.0
2216	cement		1	
2217	hurricaneharvey		1	1.0
2218	wednesdaysforfuture		1	
2219	changetheworld	['change', 'the', 'world']	3	
2220	h2020	['h', '2020']	2	
2221	voteblue2018	['vote', 'blue', '2018']	1	
2222	sustainablebusiness	['sustainable', 'business']	1	
2223	greatlakes	['great', 'lakes']	1	
2224	mission2030	['mission', '2030']	4	
2225	adani		4	17.0
2226	warrior		1	
2227	geography		1	3.0
2228	chesterfield		5	
2229	citizens		1	
2230	wrapture	['w', 'rapture']	1	
2231	tsemtulku		7	
2232	christians		1	
2233	onewater	['one', 'water']	1	
2234	heartdisease	['heart', 'disease']	3	
2235	easter		6	
2236	dontbeduped		1	
2237	climateliability	['climate', 'liability']	1	
2238	disruption		2	
2239	extinctisforever	['extinct', 'is', 'forever']	1	
2240	scottish		1	
2241	ipbes7		5	
2242	ai	['a', 'i']	17	15.0
2243	aid		1	
2244	sustdev		1	
2245	energy		256	126.0
2246	gevoices		1	
2247	dkklima		1	
2248	greeninfrastructure	['green', 'infrastructure']	1	1.0
2249	intlforestday		3	
2250	firefighters		1	
2251	materials		1	
2252	savefuel	['save', 'fuel']	1	
2253	oceanpollution	['ocean', 'pollution']	2	
2254	nutrition		3	3.0
2255	protectthereef	['protect', 'the', 'reef']	1	
2256	seaice	['sea', 'ice']	3	6.0
2257	ceo		1	
2258	grazing		1	
2259	climateassessment	['climate', 'assessment']	1	
2260	cleanup		1	
2261	ableg	['able', 'g']	2	9.0
2262	animalabuse	['animal', 'abuse']	3	
2263	pijournalism	['pi', 'journalism']	1	
2264	resilientmiami		1	
2265	lead		1	
2266	belizebarrierreef		1	
2267	investing		1	1.0
2268	unions		3	
2269	londonblogger		1	
2270	globalwaming		4	
2271	greeninvestment	['green', 'investment']	1	
2272	la		2	1.0
2273	doitforbobhawke		1	
2274	left		1	
2275	suriname		1	
2276	stepup	['step', 'up']	2	
2277	peopleneednature	['people', 'need', 'nature']	1	
2278	stopfoodwasteday	['stop', 'food', 'waste', 'day']	2	
2279	reddear	['red', 'dear']	1	
2280	wales		1	1.0
2281	meteorology		5	
2282	terrorist		2	
2283	gatwickcant		1	
2284	sdgdiis		1	
2285	atoll		1	
2286	nikon		1	
2287	tuvalu		5	
2288	uspolitics	['us', 'politics']	3	
2289	winter		1	2.0
2290	worldenvironmentalday	['world', 'environmental', 'day']	1	
2291	flooding		9	7.0
2292	climatetakeback	['climate', 'take', 'back']	1	
2293	adaptation		29	10.0
2294	chytrid		1	
2295	oceanconservation	['ocean', 'conservation']	1	
2296	extinctionrebellionlondon		4	
2297	followers		2	
2298	republicans		1	
2299	ditchmitch		2	
2300	anticapitalism	['anti', 'capitalism']	1	
2301	fbpe		1	
2302	tundra		1	
2303	polar2018	['polar', '2018']	2	
2304	gold		2	
2305	jetstream		1	
2306	internationalwomensmonth		1	
2307	fuckhypocrisy	['fuck', 'hypocrisy']	1	
2308	waronscience	['war', 'on', 'science']	1	
